id_siniestro,score_riesgo,nivel_riesgo,recomendacion,explicacion_score,score_reglas,score_documental,score_nlp,score_modelo,modelo_fallback,rule_points,rule_alerts,rule_critical_flags,rule_severity_max,rule_n_rules_fired,rule_n_critical
SIN-0022,74.9,ALTO,Detener pago. Revisión especializada de campo requerida.,"Score de riesgo: 75/100 (Nivel ALTO). Motor de reglas: 6 regla(s) activada(s), 3 crítica(s). Señales documentales PDF: score 85/100. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",81.7,85.0,31.0,81.7,True,49,R002|R011|R012|R013|R018|R023,R011|R012|R013,CRÍTICO,6,3
SIN-0023,0.9,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 1/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,6.0,0.0,True,0,,,NINGUNA,0,0
SIN-0024,16.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 16/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,15.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0025,15.5,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 16/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,10.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0026,16.8,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 17/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,19.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0027,2.4,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 2/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,16.0,0.0,True,0,,,NINGUNA,0,0
SIN-0028,6.8,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 7/100 (Nivel BAJO). Señales documentales PDF: score 15/100. (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,15.0,20.0,0.0,True,0,,,NINGUNA,0,0
SIN-0029,13.8,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 14/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). Señales documentales PDF: score 15/100. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,15.0,14.0,13.3,True,8,R008,,ALTO,1,0
SIN-0030,30.3,MEDIO,Escalar a la Unidad Antifraude para revisión documental.,"Score de riesgo: 30/100 (Nivel MEDIO). Motor de reglas: 3 regla(s) activada(s), 0 crítica(s). Señales documentales PDF: score 15/100. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",30.0,15.0,57.0,30.0,True,18,R008|R009|R023,,ALTO,3,0
SIN-0031,18.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 18/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 1 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",20.0,0.0,40.0,20.0,True,12,R001|R023,R001,CRÍTICO,2,1
SIN-0032,13.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 13/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). Señales documentales PDF: score 15/100. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",6.7,15.0,36.0,6.7,True,4,R002,,ALTO,1,0
SIN-0033,18.5,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 18/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,30.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0034,29.6,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 30/100 (Nivel BAJO). Motor de reglas: 4 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",35.0,0.0,57.0,35.0,True,21,R002|R005|R008|R023,,ALTO,4,0
SIN-0035,13.3,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 13/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). Señales documentales PDF: score 15/100. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",6.7,15.0,37.0,6.7,True,4,R002,,ALTO,1,0
SIN-0036,16.7,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 17/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,18.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0037,12.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 12/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",6.7,0.0,55.0,6.7,True,4,R023,,BAJO,1,0
SIN-0038,30.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 30/100 (Nivel BAJO). Motor de reglas: 4 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",35.0,0.0,60.0,35.0,True,21,R002|R005|R008|R023,,ALTO,4,0
SIN-0039,12.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 12/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,28.0,13.3,True,8,R008,,ALTO,1,0
SIN-0040,38.8,MEDIO,Escalar a la Unidad Antifraude para revisión documental.,"Score de riesgo: 39/100 (Nivel MEDIO). Motor de reglas: 4 regla(s) activada(s), 2 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",50.0,0.0,59.0,50.0,True,30,R001|R008|R011|R023,R001|R011,CRÍTICO,4,2
SIN-0041,10.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 10/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,13.0,13.3,True,8,R008,,ALTO,1,0
SIN-0042,10.1,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 10/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,14.0,13.3,True,8,R008,,ALTO,1,0
SIN-0043,31.8,MEDIO,Escalar a la Unidad Antifraude para revisión documental.,"Score de riesgo: 32/100 (Nivel MEDIO). Motor de reglas: 5 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",45.0,0.0,32.0,45.0,True,27,R002|R005|R008|R009|R023,,ALTO,5,0
SIN-0044,2.7,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 3/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,18.0,0.0,True,0,,,NINGUNA,0,0
SIN-0045,12.4,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 12/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,29.0,13.3,True,8,R008,,ALTO,1,0
SIN-0046,14.4,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 14/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",6.7,0.0,69.0,6.7,True,4,R002,,ALTO,1,0
SIN-0047,20.5,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 20/100 (Nivel BAJO). Motor de reglas: 3 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",26.7,0.0,30.0,26.7,True,16,R002|R008|R023,,ALTO,3,0
SIN-0048,15.4,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 15/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,9.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0049,19.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 19/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,33.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0050,17.3,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 17/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,22.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0051,4.6,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 5/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,31.0,0.0,True,0,,,NINGUNA,0,0
SIN-0052,1.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 1/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,8.0,0.0,True,0,,,NINGUNA,0,0
SIN-0053,37.8,MEDIO,Escalar a la Unidad Antifraude para revisión documental.,"Score de riesgo: 38/100 (Nivel MEDIO). Motor de reglas: 4 regla(s) activada(s), 2 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",50.0,0.0,52.0,50.0,True,30,R001|R008|R011|R023,R001|R011,CRÍTICO,4,2
SIN-0054,7.6,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 8/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",6.7,0.0,24.0,6.7,True,4,R002,,ALTO,1,0
SIN-0055,23.3,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 23/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,62.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0056,30.4,MEDIO,Escalar a la Unidad Antifraude para revisión documental.,"Score de riesgo: 30/100 (Nivel MEDIO). Motor de reglas: 3 regla(s) activada(s), 1 crítica(s). Narrativa con similitud 89% respecto a otro siniestro. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",28.3,0.0,89.0,28.3,True,17,R005|R014|R023,R014,CRÍTICO,3,1
SIN-0057,52.8,MEDIO,Escalar a la Unidad Antifraude para revisión documental.,"Score de riesgo: 53/100 (Nivel MEDIO). Motor de reglas: 6 regla(s) activada(s), 2 crítica(s). Narrativa con similitud 85% respecto a otro siniestro. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",66.7,0.0,85.0,66.7,True,40,R002|R008|R009|R011|R014|R023,R011|R014,CRÍTICO,6,2
SIN-0058,26.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 26/100 (Nivel BAJO). Motor de reglas: 4 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",36.7,0.0,27.0,36.7,True,22,R002|R008|R009|R023,,ALTO,4,0
SIN-0059,15.6,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 16/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,11.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0060,19.6,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 20/100 (Nivel BAJO). Motor de reglas: 3 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",30.0,0.0,11.0,30.0,True,18,R002|R008|R009,,ALTO,3,0
SIN-0061,39.8,MEDIO,Escalar a la Unidad Antifraude para revisión documental.,"Score de riesgo: 40/100 (Nivel MEDIO). Motor de reglas: 4 regla(s) activada(s), 2 crítica(s). Narrativa con similitud 92% respecto a otro siniestro. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",43.3,0.0,92.0,43.3,True,26,R002|R011|R014|R023,R011|R014,CRÍTICO,4,2
SIN-0062,18.4,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 18/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,29.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0063,33.2,MEDIO,Escalar a la Unidad Antifraude para revisión documental.,"Score de riesgo: 33/100 (Nivel MEDIO). Motor de reglas: 4 regla(s) activada(s), 1 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",43.3,0.0,48.0,43.3,True,26,R002|R008|R011|R023,R011,CRÍTICO,4,1
SIN-0064,14.9,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 15/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,6.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0065,10.8,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 11/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,19.0,13.3,True,8,R008,,ALTO,1,0
SIN-0066,11.8,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 12/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,25.0,13.3,True,8,R008,,ALTO,1,0
SIN-0067,16.7,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 17/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,58.0,13.3,True,8,R002|R023,,ALTO,2,0
SIN-0068,9.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 9/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,8.0,13.3,True,8,R008,,ALTO,1,0
SIN-0069,15.8,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 16/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,12.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0070,25.8,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 26/100 (Nivel BAJO). Motor de reglas: 3 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",28.3,0.0,59.0,28.3,True,17,R005|R008|R023,,ALTO,3,0
SIN-0071,39.9,MEDIO,Escalar a la Unidad Antifraude para revisión documental.,"Score de riesgo: 40/100 (Nivel MEDIO). Motor de reglas: 5 regla(s) activada(s), 1 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",55.0,0.0,46.0,55.0,True,33,R005|R008|R009|R011|R023,R011,CRÍTICO,5,1
SIN-0072,17.6,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 18/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,24.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0073,24.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 24/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,67.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0074,20.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 20/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,40.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0075,19.6,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 20/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,37.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0076,17.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 17/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,21.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0077,15.3,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 15/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",20.0,0.0,22.0,20.0,True,12,R002|R008,,ALTO,2,0
SIN-0078,10.6,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 11/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,17.0,13.3,True,8,R008,,ALTO,1,0
SIN-0079,1.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 1/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,7.0,0.0,True,0,,,NINGUNA,0,0
SIN-0080,18.4,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 18/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,29.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0081,17.4,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 17/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,23.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0082,31.4,MEDIO,Escalar a la Unidad Antifraude para revisión documental.,"Score de riesgo: 31/100 (Nivel MEDIO). Motor de reglas: 4 regla(s) activada(s), 1 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",43.3,0.0,36.0,43.3,True,26,R002|R008|R011|R023,R011,CRÍTICO,4,1
SIN-0083,18.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 18/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,27.0,23.3,True,14,R008|R009,,ALTO,2,0
